method,lora_r,galore_rank,update_proj_gap,target_modules,epoch,loss_mean,grad_norm_mean,learning_rate_mean,entropy_mean,num_tokens_mean,mean_token_accuracy_mean,step_mean,eval_loss_mean,eval_runtime_mean,eval_samples_per_second_mean,eval_steps_per_second_mean,eval_entropy_mean,eval_num_tokens_mean,eval_mean_token_accuracy_mean,loss_std,grad_norm_std,learning_rate_std,entropy_std,num_tokens_std,mean_token_accuracy_std,step_std,eval_loss_std,eval_runtime_std,eval_samples_per_second_std,eval_steps_per_second_std,eval_entropy_std,eval_num_tokens_std,eval_mean_token_accuracy_std
dora,32.0,,,all,1.0,1.243626411955926,0.7055020332336426,0.00016002288329519454,1.2487936863955609,5291602.0,0.7173183437843162,1748.0,1.20293132464091,694.1592,4.316,0.5403333333333333,1.2227770079506768,5291602.0,0.7249047643343607,0.0001326682384661786,0.04619025913461227,0.0,0.00012178274661907176,0.0,8.097062476556431e-05,0.0,0.00035394268603349655,1.761599815508648,0.010583005244258665,0.0015275252316519692,0.01878412479228374,0.0,0.00029485700629013355
dora,32.0,,,all,2.0,1.0414076978972993,1.0720415314038594,0.00012002288329519453,1.0595761513682742,10583204.0,0.7487316644778241,3496.0,1.19569730758667,692.9294666666666,4.323666666666667,0.541,1.1220705982844035,10583204.0,0.7287199508349101,0.0011486235777867575,0.15044838116085307,0.0,0.0009920223844593378,0.0,0.0002534151845318802,0.0,0.00015646127291817845,1.1668989859166972,0.007371114795832236,0.0010000000000000009,0.018859219901918033,0.0,0.00028022075627614893
dora,32.0,,,all,3.0,0.7644545077186428,1.6064700682957966,8.002288329519452e-05,0.8149542021760497,15874806.0,0.8007122341637207,5244.0,1.2577634652455647,694.4136666666667,4.314666666666667,0.5403333333333333,0.9394931930965847,15874806.0,0.7291421342425877,0.0012078915470101952,0.26791553120294526,0.0,0.0010802940541341508,0.0,0.0004031912271578908,0.0,0.007198727025319478,2.2690867355245796,0.01386842937514322,0.001527525231651936,0.013710139696940215,0.0,0.0004458587190984463
dora,32.0,,,all,4.0,0.4760568416545993,1.8743846416473389,4.0022883295194505e-05,0.560135081586585,21166408.0,0.8680143101719114,6992.0,1.4021620750427246,693.9106333333333,4.317666666666667,0.5403333333333333,0.7814337256749472,21166408.0,0.7260403628349303,0.0012913536403455135,0.053308812468861065,0.0,0.0011586425583449097,0.0,0.00031776899268571906,0.0,0.002348588814182797,2.295093353947408,0.014571661996262884,0.001527525231651936,0.00818492544869217,0.0,0.00023874165106000574
dora,32.0,,,all,5.0,0.26794406241992336,1.709883411725362,2.2883295194508016e-08,0.359818222326554,26458010.0,0.9249067891085084,8740.0,1.5969044367472331,694.1485333333334,4.316333333333334,0.5403333333333333,0.6535849976274702,26458010.0,0.7215356925328572,0.0009676790977597423,0.10427153412061858,0.0,0.0008631909225472466,0.0,0.0003048258468257084,0.0,0.003590273583159675,2.466227548977078,0.015275252316519675,0.001527525231651936,0.0022471284230053176,0.0,0.00018080803292176814
dora,32.0,,,attn,1.0,1.2478745240095825,0.4965277314186096,0.00016002288329519454,1.258869432577825,5291602.0,0.7168777524447459,1748.0,1.2118593454360962,279.60836666666665,10.714999999999998,1.341,1.229366167916192,5291602.0,0.7236299424701267,0.00028811925840980114,0.02560893828421315,0.0,0.0002178121251910142,0.0,6.886980278816633e-05,0.0,0.0014005075827096323,1.0934662149940304,0.04150903516103415,0.004999999999999949,0.035200815397382845,0.0,0.0004294986913513381
dora,32.0,,,attn,2.0,1.1517525330288185,0.7002478043238322,0.00012002288329519453,1.1686446303338336,10583204.0,0.7312913930525223,3496.0,1.2014543215433757,279.3969,10.722999999999999,1.3419999999999999,1.1717633478376601,10583204.0,0.7260908732414246,0.0003822478982350098,0.045441193816050114,0.0,0.0004681379938658731,0.0,6.73749855013679e-05,0.0,0.0008918219710933699,1.0907924229659938,0.04158124577258363,0.0052915026221291225,0.017947967328032718,0.0,0.00020407716608688778
dora,32.0,,,attn,3.0,1.0394459600033967,0.8514615098635355,8.002288329519452e-05,1.0667649958421945,15874806.0,0.7498735331743388,5244.0,1.2138039271036785,279.5708333333333,10.716666666666669,1.3413333333333333,1.0968677649497984,15874806.0,0.726118980301751,0.00030410387626755766,0.10719197932274512,0.0,0.00042974774305100144,0.0,9.053740642590123e-05,0.0,0.0007600395247472979,0.8876981149767601,0.034019602192461564,0.0037859388972002373,0.005334971508321304,0.0,0.0002851277731250998
dora,32.0,,,attn,4.0,0.9245539126188858,1.1440551280975342,4.0022883295194505e-05,0.9658862710976582,21166408.0,0.7708636639365524,6992.0,1.2471812566121419,279.7812,10.708333333333334,1.3403333333333334,1.0299587687386407,21166408.0,0.7246568641132779,9.076940742138375e-05,0.057809272222587145,0.0,0.00021787781772150317,0.0,9.181441333860112e-05,0.0,0.00028102093429537364,1.1395565979800857,0.04350095784386021,0.005859465277082298,0.004103560143659544,0.0,4.823310112555e-05
dora,32.0,,,attn,5.0,0.8227042308024647,1.3452267249425252,2.2883295194508016e-08,0.8780690451599459,26458010.0,0.7915440166523946,8740.0,1.2950656811396282,279.93233333333336,10.702666666666666,1.3396666666666668,0.9767441340552437,26458010.0,0.7214342371092902,0.0003733986000575901,0.01850888519639477,0.0,0.0003489290217120382,0.0,0.00010266379525197154,0.0,0.0005219506877040664,1.3697471019620269,0.052271725945613974,0.006350852961085825,0.0011162704845266282,0.0,6.101601312585105e-05
dora,64.0,,,all,1.0,1.261454683328566,0.8508206605911255,0.00016002288329519454,1.2622891117788106,5291602.0,0.714672220880798,1748.0,1.2203209797541301,699.9424333333333,4.280333333333333,0.5356666666666667,1.2404461164474487,5291602.0,0.7224037242995368,0.00022798221634158646,0.042679430130036,0.0,0.0002195413297128547,0.0,5.256741818672634e-05,0.0,0.00025169652839486403,4.7254365346848175,0.029022979401386907,0.0035118845842842666,0.008109113239748921,0.0,0.0003494992102173834
dora,64.0,,,all,2.0,1.0123340830741085,1.209895173708598,0.00012002288329519453,1.0296517611345564,10583204.0,0.7533078031581745,3496.0,1.213215430577596,699.6525666666666,4.282666666666667,0.536,1.1093783804045783,10583204.0,0.7274728056059944,0.00075187543631916,0.08762959701133292,0.0,0.0006921058082196332,0.0,0.00015491618572474912,0.0,0.0006797286755494748,5.480360215654936,0.03350124375800605,0.0040000000000000036,0.030276314834571317,0.0,0.00043339626724657807
